trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
18	4	0	0	3	3	6	5	0.0	1	2012	4	1	7	8.916666667000001	71	1	0	0	2714	0.7625	0.231666667	0.171388889	0.0	0.334444444	0.0	0	0.1963888889999999	0.0	0.53	0.0	0.0353606999999999
20	5	1	0	4	3	1	5	0.0	1	2012	4	1	7	4.0	64	1	1	1	2199	0.598333333	0.183333333	0.381666667	0.0	0.062222222	0.0	0	0.1172222219999999	0.0	0.41	0.0	0.0971563999999999
21	5	1	1	4	3	1	5	0.0	1	2012	4	1	7	14.5	64	1	1	1	2199	0.603055556	0.2047222219999999	0.083888889	0.0	0.293611111	0.0	0	0.167777778	0.0	0.46	0.0	0.243377
22	6	0	0	3	3	6	1	1.0	1	2012	4	1	7	20.0	54	0	1	0	1170	0.342222222	0.127222222	0.109166667	0.0	0.133333333	0.0	0	0.093888889	1.5	0.23	0.0	0.204142
31	8	1	5	1	3	1	1	1.0	1	2012	4	1	7	17.08333333	49	1	0	1	521	0.173888889	0.054722222	0.1011111109999999	0.0	0.038055556	0.0	0	0.055	1.5	0.14	0.0	0.0757576
47	12	0	1	4	5	1	5	0.0	1	2012	4	1	7	11.16666667	64	0	1	1	7835	1.823611111	0.554444444	0.082222222	0.0	0.5475	0.133333333	1	0.355555556	0.0	1.28	0.0	0.302344
48	12	0	2	4	5	1	5	0.0	1	2012	4	1	7	11.41666667	64	0	1	1	7703	1.814722222	0.615555556	0.0625	0.0	0.491944444	0.094722222	1	0.355555556	0.0	1.35	0.0	0.249219
49	12	0	3	4	3	1	5	0.0	1	2012	4	1	7	11.75	64	0	1	1	1274	0.297777778	0.097222222	0.0825	0.0	0.061944444	0.0	0	0.0625	0.0	0.2	0.0	0.124444
60	13	0	3	3	3	1	1	1.0	1	2012	4	1	7	17.33333333	54	1	0	1	3355	0.921388889	0.288611111	0.0125	0.15	0.225	0.15	1	0.251388889	3.9	0.7	0.0	0.2419889999999999
72	14	0	0	4	3	1	5	0.0	1	2012	4	1	7	11.0	65	1	1	2	404	0.1447222219999999	0.0502777779999999	0.0430555559999999	0.0	0.0388888889999999	0.0	0	0.037777778	0.0	0.11	0.0	0.2426469999999999
81	16	0	2	3	3	6	5	0.0	1	2012	4	1	7	14.0	74	0	1	0	2702	0.664444444	0.2263888889999999	0.115	0.0	0.2022222219999999	0.0	0	0.180833333	0.0	0.46	0.0	0.373272
106	22	0	0	1	3	1	1	1.0	1	2012	4	1	7	11.0	42	1	1	2	1304	0.365	0.109722222	0.218611111	0.0	0.066666667	0.0	0	0.095277778	1.5	0.26	0.0	0.131195
121	25	0	3	1	3	2	5	0.0	1	2012	4	2	1	17.58333333	62	0	1	2	1245	0.330277778	0.1291666669999999	0.157777778	0.0	0.046388889	0.0	0	0.0611111109999999	0.0	0.17	0.0	0.190909
177	38	0	1	3	4	6	1	1.0	1	2012	4	2	1	17.33333333	35	1	1	0	5318	1.175277778	0.471666667	0.2372222219999999	0.166666667	0.0	0.0	0	0.373888889	2.4	0.91	10.5	0.823923
